iter	RMSE
0	0.01243114029
1	0.0122053386
2	0.01200260854
3	0.01181742905
4	0.01165886216
5	0.01151035552
6	0.01137732633
7	0.01125931996
8	0.01115052663
9	0.01105242187
10	0.01096846996
11	0.01088712584
12	0.01081672756
13	0.01074674704
14	0.01068828058
15	0.01063587005
16	0.01059078212
17	0.01054210828
18	0.01050190065
19	0.01046666509
20	0.01043521473
21	0.01040451045
22	0.0103737481
23	0.01034764866
24	0.010322693
25	0.01030346316
26	0.01027971768
27	0.01025860392
28	0.010239544
29	0.01021709221
30	0.01019712674
31	0.01017812945
32	0.0101597277
33	0.01014658547
34	0.01013345599
35	0.01011934872
36	0.01010889912
37	0.01009851217
38	0.01008998552
39	0.01008041026
40	0.01006916278
41	0.01006092931
42	0.01004644115
43	0.01003398555
44	0.01002499871
45	0.01001816297
46	0.01001153052
47	0.0100030684
48	0.009994117725
49	0.009982575471
50	0.009980634029
51	0.009976930509
52	0.009943782524
53	0.009941298277
54	0.009932393152
55	0.009927796523
56	0.009926118863
57	0.00990566744
58	0.009900633503
59	0.009887566165
60	0.009881388624
61	0.009874444843
62	0.009869877698
63	0.009865454072
64	0.009859692696
65	0.00985576255
66	0.009824318378
67	0.009820463125
68	0.009815250035
69	0.009810867818
70	0.009809327169
71	0.00980341746
72	0.009799073943
73	0.009763298156
74	0.009761898304
75	0.009728100839
76	0.00971938735
77	0.009717937928
78	0.009711989502
79	0.009710406665
80	0.009707850022
81	0.00970635069
82	0.009701432047
83	0.009700457754
84	0.009699110924
85	0.009693775419
86	0.009688320114
87	0.009660216657
88	0.009657955519
89	0.009648546493
90	0.009645168081
91	0.009643110714
92	0.009638494559
93	0.009630891191
94	0.009627394445
95	0.009620583939
96	0.009619596493
97	0.0096156795
98	0.00961101012
99	0.009606233964
100	0.009580034123
101	0.009575291782
102	0.009573950502
103	0.009569414549
104	0.009566184247
105	0.00955859579
106	0.009552943741
107	0.009550019412
108	0.009546192721
109	0.00954213155
110	0.009535215788
